location,lat,lon
United States,37.09024,-95.712891
China,35.86166,104.195397
Mexico,23.634501,-102.552784
Hong Kong,22.396428,114.109497
Japan,36.204824,138.252924
Philippines,12.879721,121.774017
South Korea,35.907757,127.766922
Cuba,21.521757,-77.781167
Netherlands,52.132633,5.291266
Angola,-11.202692,17.873887
Chile,-35.675147,-71.542969
Egypt,26.820553,30.802498
Switzerland,46.818188,8.227512
Taiwan,23.69781,120.960515
Peru,-9.189967,-75.015152
France,46.227638,2.213749
Ivory Coast,7.539989,-5.54708
United Arab Emirates,23.424076,53.847818
Bahrain,25.930414,50.637772
Panama,8.537981,-80.782127
New Zealand,-40.900557,174.885971
Colombia,4.570868,-74.297333
Gabon,-0.803689,11.609444
Vietnam,14.058324,108.277199
Mozambique,-18.665695,35.529562
Barbados,13.193887,-59.543198
Democratic Republic of the Congo,-4.038333,21.758664
Republic of the Congo,-0.228021,15.827659
Senegal,14.497401,-14.452362
Qatar,25.354826,51.183884
Swaziland,-26.522503,31.465866
Italy,41.87194,12.56738
Sweden,60.128161,18.643501
